1;0;4445.00;12.97;701.00;0.00;0.60
2;0;2939.00;10.55;1283.00;0.00;0.60
3;0;2439.00;11.40;1731.00;0.00;0.64
4;0;3552.00;11.90;843.00;0.00;0.52
5;0;3614.00;10.60;719.00;0.00;0.76
6;0;2505.00;10.00;548.00;0.00;0.60
7;0;4103.00;11.87;1157.00;0.00;0.72
8;0;4334.00;13.42;1598.00;0.00;0.52
9;0;3352.00;10.05;130.00;0.00;0.52
10;0;4750.00;10.30;1758.00;0.00;0.60
11;0;2223.00;10.00;1179.00;0.00;0.64
12;0;4658.00;11.10;1865.00;0.00;0.72
13;0;3774.00;10.50;203.00;0.00;0.60
14;0;2301.00;11.95;617.00;0.00;0.60
15;0;3648.00;12.25;555.00;0.00;0.68
16;0;4470.00;10.95;1486.00;0.00;0.48
17;0;4264.00;12.40;861.00;0.00;0.52
18;0;3839.00;10.05;208.00;0.00;0.64
19;0;4401.00;12.92;1398.00;0.00;0.60
20;0;2339.00;10.30;1471.00;0.00;0.56
21;0;4007.00;13.72;640.00;0.00;0.72
22;0;2715.00;12.40;1618.00;0.00;0.68
23;0;3973.00;11.42;906.00;0.00;0.56
24;0;3448.00;11.75;817.00;0.00;0.56
25;0;3403.00;21.85;1492.00;0.00;0.76
26;0;3575.00;10.35;788.00;0.00;0.64
27;0;2482.00;11.15;452.00;0.00;0.64
28;0;2943.00;10.25;640.00;0.00;0.64
29;0;3405.00;13.85;1563.00;0.00;0.52
30;0;3609.00;10.50;259.00;0.00;0.72
31;0;3582.00;11.75;437.00;0.00;0.56
32;0;4358.00;9.90;1781.00;0.00;0.60
33;0;3639.00;10.35;411.00;0.00;0.68
34;0;3249.00;10.02;1003.00;0.00;0.48
35;0;3529.00;10.72;1516.00;0.00;0.56
36;0;4621.00;10.00;660.00;0.00;0.60
37;0;3410.00;11.00;1124.00;0.00;0.60
38;0;4047.00;12.10;999.00;0.00;0.56
39;0;2592.00;12.35;1529.00;0.00;0.72
40;0;3194.00;12.97;1713.00;0.00;0.72
41;0;4585.00;10.90;1897.00;0.00;0.60
42;0;3286.00;10.20;1701.00;0.00;0.76
43;0;2219.00;9.90;1404.00;0.00;0.56
44;0;3900.00;11.50;1275.00;0.00;0.60
45;0;4379.00;10.87;525.00;0.00;0.52
46;0;3665.00;10.70;296.00;0.00;0.60
47;0;4929.00;9.90;1257.00;0.00;0.60
48;0;2533.00;9.92;325.00;0.00;0.72
49;0;2655.00;11.90;1607.00;0.00;0.48
50;0;2216.00;10.32;1441.00;0.00;0.64
51;0;2783.00;10.20;1106.00;0.00;0.60
52;0;2832.00;11.62;1497.00;0.00;0.68
53;0;2633.00;11.02;387.00;0.00;0.80
54;0;2522.00;10.32;421.00;0.00;0.56
55;0;3557.00;11.85;1039.00;0.00;0.60
56;0;2424.00;9.90;301.00;0.00;0.64
57;0;3397.00;10.30;339.00;0.00;0.52
58;0;2381.00;10.70;444.00;0.00;0.60
59;0;3663.00;10.82;957.00;0.00;0.68
60;0;3424.00;10.30;1387.00;0.00;0.56
61;0;3070.00;12.45;507.00;0.00;0.68
62;0;3715.00;10.70;686.00;0.00;0.52
63;0;3815.00;11.40;884.00;0.00;0.64
64;0;4016.00;11.45;1209.00;0.00;0.60
65;0;3520.00;10.30;1537.00;0.00;0.52
66;0;2388.00;10.50;982.00;0.00;0.56
67;0;3139.00;10.87;1579.00;0.00;0.52
68;0;2364.00;10.10;1595.00;0.00;0.48
69;0;3015.00;10.97;1442.00;0.00;0.76
70;0;4185.00;11.50;735.00;0.00;0.64
71;0;4780.00;10.30;1171.00;0.00;0.52
72;0;3433.00;13.37;974.00;0.00;0.52
73;0;3767.00;10.42;409.00;0.00;0.68
74;0;3902.00;12.02;1137.00;0.00;0.52
75;0;3380.00;9.90;296.00;0.00;0.64
76;0;2803.00;12.12;1543.00;0.00;0.64
77;0;2447.00;10.40;1215.00;0.00;0.60
78;0;3377.00;10.00;1414.00;0.00;0.60
79;0;3192.00;11.17;1400.00;0.00;0.52
80;0;3182.00;11.57;526.00;0.00;0.60
81;0;4125.00;11.20;719.00;0.00;0.68
82;0;3422.00;11.10;1435.00;0.00;0.72
83;0;2809.00;17.90;1387.00;0.00;0.68
84;0;3562.00;10.10;1170.00;0.00;0.44
85;0;2203.00;11.00;1124.00;0.00;0.60
86;0;3914.00;10.32;1592.00;0.00;0.60
87;0;3374.00;12.37;1067.00;0.00;0.68
88;0;4898.00;10.55;1176.00;0.00;0.52
89;0;4308.00;12.12;912.00;0.00;0.60
90;0;2394.00;11.12;581.00;0.00;0.68
91;0;3306.00;10.27;1369.00;0.00;0.56
92;0;4168.00;12.00;1338.00;0.00;0.56
93;0;3164.00;10.00;1786.00;0.00;0.64
94;0;2766.00;10.10;1074.00;0.00;0.60
95;0;3399.00;10.20;1425.00;0.00;0.64
96;0;2664.00;10.70;1264.00;0.00;0.60
97;0;2355.00;10.10;277.00;0.00;0.60
98;0;2422.00;10.70;404.00;0.00;0.60
99;0;3862.00;10.80;247.00;0.00;0.68
100;0;3790.00;21.42;1317.00;0.00;0.64
101;0;3107.00;9.97;1809.00;0.00;0.44
102;0;3108.00;12.55;467.00;0.00;0.60
103;0;3124.00;11.20;626.00;0.00;0.76
