1;1554;9.900000;1032;small
2;1398;9.900000;1022;small
3;1756;9.900000;309;small
4;1366;9.900000;1558;small
5;1826;9.900000;1211;small
6;2101;9.900000;654;small
7;1375;9.900000;256;small
8;1127;9.900000;649;small
9;1642;9.900000;1568;small
10;1046;9.900000;1182;small
11;1864;9.900000;799;small
12;1463;9.900000;1292;small
13;2070;9.900000;1151;small
14;1487;9.900000;885;small
15;1643;9.900000;1067;small
16;859;9.900000;818;small
17;1134;9.900000;876;small
18;1242;9.900000;1150;small
19;1353;9.900000;682;small
20;2023;9.900000;504;small
21;1584;9.900000;250;small
22;1146;9.900000;1588;small
23;2299;9.900000;385;small
24;1470;9.900000;1708;small
25;1931;9.900000;300;small
26;985;9.900000;604;small
27;1234;9.900000;1071;small
28;1037;9.900000;785;small
29;1573;9.900000;1638;small
30;1727;9.900000;1380;small
31;1788;9.900000;179;small
32;1238;9.900000;433;small
33;1927;9.900000;627;small
34;1506;9.900000;1455;small
35;1723;9.900000;1171;small
36;2011;9.900000;899;small
37;1520;9.900000;406;small
38;836;9.900000;1217;small
39;1135;9.900000;1187;small
40;1849;9.900000;980;small
41;848;9.900000;944;small
42;1726;9.900000;855;small
43;1262;9.900000;503;small
44;2088;9.900000;1061;small
45;1307;9.900000;583;small
46;1674;9.900000;484;small
47;1287;9.900000;871;small
48;1019;9.900000;764;small
49;2205;9.900000;551;small
50;1857;9.900000;543;small
51;1486;9.900000;1107;small
52;1796;9.900000;1493;small
53;1381;9.900000;1367;small
54;1844;9.900000;1005;small
55;938;9.900000;1298;small
56;1545;9.900000;1702;small
57;1254;9.900000;1675;small
58;1467;9.900000;807;small
59;1991;9.900000;453;small
60;1858;9.900000;1277;small
61;1233;9.900000;1437;small
62;976;9.900000;1064;small
63;1456;9.900000;1223;small
64;1514;9.900000;1136;small
65;1468;9.900000;284;small
66;1931;9.900000;1030;small
67;1836;9.900000;460;small
68;1586;9.900000;554;small
69;1213;9.900000;919;small
70;2335;9.900000;341;small
71;1697;9.900000;622;small
72;1180;9.900000;452;small
73;1848;9.900000;696;small
74;1543;9.900000;1553;small
75;1145;9.900000;826;small
76;1632;9.900000;594;small
77;2123;9.900000;1037;small
78;1239;9.900000;1309;small
79;1604;9.900000;900;small
80;1097;9.900000;1099;small
81;1556;9.900000;732;small
82;1865;9.900000;66;small
83;1877;9.900000;473;small
84;1886;9.900000;1205;small
85;1507;9.900000;1266;small
86;1898;9.900000;485;small
87;1826;9.900000;228;small
88;1717;9.900000;299;small
89;1252;9.900000;1527;small
90;1579;9.900000;502;small
91;1581;9.900000;1128;small
92;1332;9.900000;804;small
93;2019;9.900000;597;small
94;1092;9.900000;1473;small
95;2093;9.900000;1092;small
96;1474;9.900000;992;small
97;1232;9.900000;1527;small
98;1440;9.900000;1444;small
99;1403;9.900000;871;small
100;1611;9.900000;352;small
101;1923;9.900000;437;small
102;2082;9.900000;1263;small
103;1647;9.900000;865;small
104;1874;9.900000;1521;small
105;973;9.900000;1259;small
106;1390;9.900000;1080;small
107;984;9.900000;582;small
108;1053;9.900000;706;small
109;1740;9.900000;861;small
110;2132;9.900000;536;small
111;1368;9.900000;575;small
112;1391;9.900000;1604;small
113;1454;9.900000;595;small
